 Тилігульський лиман																																
Вид лоту	Кількість лотів	ДОГОВІР			Дозвіл		% від загального ліміту	Загальний обсяг лімітованих і прогнозних видів водного біоресурсу	Види водних біоресурсів, які включені до договору								Знаряддя лову, які включені до договору													Ідентифікаційні номера бирок	Кількість риболовних суден	Назва судна/Бортовий номер судна
									Глось Platichthys flesus	Бички (крім видів, занесених до Червоної книги України) Gobiidae	Сингіль Liza aurata	Лобань Mugil cephalus	Гостроніс Liza saliens	Креветка Caridea	Піленгас Liza haematocheilus	Атерина піщана Atherina boyeri	Ставний невід (крок вічка у котлі 6 мм, дворі 10 та крилах 14 мм)	Ставний невід (крок вічка 20 мм)	Ятір (крок вічка 16 мм)	Закидний невід (волок) (крок вічка у матні 6 мм, приводах 6 мм, крилах – 6 мм)	Закидний невід (волок) (крок вічка в матні 16 мм, приводах 18 мм, крилах – 20 мм)	Закидний невід (волок) (крок вічка в матні 18 мм, приводах 20 мм, крилах – 22 мм)	Закидний невід (волок) (крок вічка в матні 8 мм, приводах 6 мм, крилах – 6 мм)	Закидний невід (волок) (крок вічка в матні 20 мм, приводах 22 мм, крилах – 22 мм)	Сітка (крок вічка від 20 мм до 28 мм)	Сітка (крок вічка від 45 мм до 70 мм)	Сітка (крок вічка від 50 мм до 70 мм)	Кошільний  невід (крок вічка 30 мм)	Кільцевий невід (крок вічка 30 мм)			
		Номер договору	Переможець	Дата опублікування договору в електронній системі																												
					Дата	Номер																										
	1	TL2MIN2024						18900,64	72,39	210,87	3852,45	478,76	341,08	11239,02	905,64	1800,43																
	1	TL3MIN2024						18900,64	72,39	210,87	3852,45	478,76	341,08	11239,02	905,64	1800,43																
	1	TL4MIN2024						18900,64	72,39	210,87	3852,45	478,76	341,08	11239,02	905,64	1800,43																
	1	TL5MIN2024						18900,64	72,39	210,87	3852,45	478,76	341,08	11239,02	905,64	1800,43																
Всього	5																															
MID	1	TL1MID2024						25200,47	97,21	280,96	5137,55	637,40	454,10	14985,94	1206,68	2400,62																
	1	TL2MID2024						25200,47	97,21	280,96	5137,55	637,40	454,10	14985,94	1206,68	2400,62																
	1	TL3MID2024						25200,47	97,21	280,96	5137,55	637,40	454,10	14985,94	1206,68	2400,62																
	1	TL4MID2024						25200,47	97,21	280,96	5137,55	637,40	454,10	14985,94	1206,68	2400,62																
	1	TL5MID2024						25200,47	97,21	280,96	5137,55	637,40	454,10	14985,94	1206,68	2400,62																
Всього	5																															
MAX	1	TL1MAX2024						32408,94	134,44	362,34	6596,85	813,04	579,23	19279,96	1556,18	3086,90																
																																
																																
																																
																																
Разом	11							541,039	0,885	8,890	33,790	4,227	4,227	160,040	8,890	320,090	129	87	540	87	87	87	87	87	750	270	220	33	33		129	
																																
																																
																																
 Разом	  11 						  100 	  289,039 	  0,475 	  4,750 	  18,050 	  2,257 	  2,257 	  85,500 	  4,750 	  171,000 	  69 	  47 	  290 	  47 	  47 	  47 	  47 	  47 	  400 	  145 	  120 	  18 	  18 		  69 	
